id	org	files	has_meta	tar_meta	has_r	usable	year	month	day	journal	link
GSE156052	Mus musculus	TXT	no	no	no	no	2020	Aug	11	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156052//suppl/filelist.txt
GSE154047	Mus musculus	CLOUPE, MTX, TSV	no	error_parse	no	no	2020	Jul	08	Cell Rep	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154047//suppl/filelist.txt
GSE149897	Mus musculus	XLSX	no	error_parse	no	no	2020	May	05	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149897//suppl/filelist.txt
GSE144271	Mus musculus	MTX, TSV	no	no	no	no	2020	Jan	27	Cell Rep	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE144nnn/GSE144271//suppl/filelist.txt
GSE135310	Mus musculus	H5, MTX, TSV, TXT	no	no	no	no	2019	Aug	02	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135310//suppl/filelist.txt
GSE156341	Homo sapiens	MTX, TSV	no	no	no	no	2020	Aug	17	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156341//suppl/filelist.txt
GSE156340	Homo sapiens	TXT	no	no	no	no	2020	Aug	17	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156340//suppl/filelist.txt
GSE140032	Mus musculus	MTX, TSV	no	no	no	no	2019	Nov	06	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140032//suppl/filelist.txt
GSE138979	Homo sapiens	H5, TXT	no	no	no	no	2019	Oct	16	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE138nnn/GSE138979//suppl/filelist.txt
GSE135880	Mus musculus	BED, FPKM_TRACKING, WIG	no	no	no	no	2019	Aug	15	Sci Adv	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135880//suppl/filelist.txt
